source_id,source_location,source_region,sourceX,sourceY,target_id,target_location,targetX,targetY,migration_period,years,notes
49,Portugal,"Western Europe",38.725267,-9.150019,33,"Venice, Italy",45.4930475,12.417700299999979,1,mid16-late-16,
49,Portugal,"Western Europe",38.725267,-9.150019,2,"Recife, Brazil",-8.054074,-34.8708494,1,mid16-late-16,
49,Portugal,"Western Europe",38.725267,-9.150019,38,"Salonica, Greece",40.6400629,22.944419100000005,1,mid16-late-16,
49,Portugal,"Western Europe",38.725267,-9.150019,53,"Livorno, Italy",43.55,10.316667,1,mid16-late-16,
49,Portugal,"Western Europe",38.725267,-9.150019,51,"Antwerp, Belgium",51.217778,4.400278,1,mid16-late-16,
50,Spain,"Western Europe",40.433333,-3.7,2,"Recife, Brazil",-8.054074,-34.8708494,1,mid16-late-16,
50,Spain,"Western Europe",40.433333,-3.7,38,"Salonica, Greece",40.6400629,22.944419100000005,1,mid16-late-16,
50,Spain,"Western Europe",40.433333,-3.7,53,"Livorno, Italy",43.55,10.316667,1,mid16-late-16,
50,Spain,"Western Europe",40.433333,-3.7,51,"Antwerp, Belgium",51.217778,4.400278,1,mid16-late-16,
50,Spain,"Western Europe",40.433333,-3.7,33,"Venice, Italy",45.4930475,12.417700299999979,1,mid16-late-16,
51,"Antwerp, Belgium","Western Europe",51.217778,4.400278,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,2,"late 16th-early17th",
52,"Bordeaux, France","Western Europe",44.84," -0.58",1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,2,"late 16th-early17th",
53,"Livorno, Italy","Western Europe",43.55,10.316667,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,2,"late 16th-early17th",
49,Portugal,"Western Europe",38.725267,-9.150019,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,2,"late 16th-early17th",
49,Portugal,"Western Europe",38.725267,-9.150019,2,"Recife, Brazil",-8.054074,-34.8708494,2,"late 16th-early17th",
49,Portugal,"Western Europe",38.725267,-9.150019,40,"Hamburg, Germany",53.551085,9.993682,2,"late 16th-early17th",
2,"Recife, Brazil","South America",-8.054074,-34.8708494,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,2,"late 16th-early17th",
38,"Salonica, Greece","Southern Europe",40.6400629,22.944419100000005,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,2,"late 16th-early17th",
50,Spain,"Western Europe",40.433333,-3.7,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,2,"late 16th-early17th",
50,Spain,"Western Europe",40.433333,-3.7,2,"Recife, Brazil",-8.054074,-34.8708494,2,"late 16th-early17th",
50,Spain,"Western Europe",40.433333,-3.7,40,"Hamburg, Germany",53.551085,9.993682,2,"late 16th-early17th",
33,"Venice, Italy","Southern Europe",45.4930475,12.417700299999979,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,2,"late 16th-early17th",
1,"Amsterdam, Netherlands","Western Europe",52.3702157,4.895167899999933,2,"Recife, Brazil",-8.054074,-34.8708494,3,early17th-mid17th,
49,Portugal,"Western Europe",38.725267,-9.150019,8,"London, England",51.5073509,-0.12775829999998223,3,early17th-mid17th,
50,Spain,"Western Europe",40.433333,-3.7,8,"London, England",51.5073509,-0.12775829999998223,3,early17th-mid17th,
1,"Amsterdam, Netherlands","Western Europe",52.3702157,4.895167899999933,6,"Willemstad, Curacao",12.1047416,-68.9326698,4,mid17th,
1,"Amsterdam, Netherlands","Western Europe",52.3702157,4.895167899999933,8,"London, England",51.5073509,-0.12775829999998223,4,mid17th,NULL
52,"Bordeaux, France","Western Europe",44.84," -0.58",8,"London, England",51.5073509,-0.12775829999998223,4,mid17th,NULL
40,"Hamburg, Germany","Western Europe",53.551085,9.993682,8,"London, England",51.5073509,-0.12775829999998223,4,mid17th,NULL
53,"Livorno, Italy","Western Europe",43.55,10.316667,59,"Essequibo, Dutch Guiana",7.03333,-58.45,4,mid17th,
53,"Livorno, Italy","Western Europe",43.55,10.316667,19,"Cayenne, French Guyana",4.922420000000001,-52.313453100000004,4,mid17th,
37,Poland,"Western Europe",52.2296756,21.012228700000037,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,4,mid17th,"used warsaw"
37,Poland,"Western Europe",52.2296756,21.012228700000037,40,"Hamburg, Germany",53.551085,9.993682,4,mid17th,"used warsaw"
37,Poland,"Western Europe",52.2296756,21.012228700000037,8,"London, England",51.5073509,-0.12775829999998223,4,mid17th,NULL
49,Portugal,"Western Europe",38.725267,-9.150019,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,4,mid17th,
49,Portugal,"Western Europe",38.725267,-9.150019,40,"Hamburg, Germany",53.551085,9.993682,4,mid17th,
49,Portugal,"Western Europe",38.725267,-9.150019,8,"London, England",51.5073509,-0.12775829999998223,4,mid17th,NULL
2,"Recife, Brazil","South America",-8.054074,-34.8708494,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,4,mid17th,
2,"Recife, Brazil","South America",-8.054074,-34.8708494,19,"Cayenne, French Guyana",4.922420000000001,-52.313453100000004,4,mid17th,
2,"Recife, Brazil","South America",-8.054074,-34.8708494,24,"New York, United States",40.7127753,-74.0059728,4,mid17th,
2,"Recife, Brazil","South America",-8.054074,-34.8708494,4,"Bridgetown, Barbados",13.0968511,-59.61448189999999,4,mid17th,
2,"Recife, Brazil","South America",-8.054074,-34.8708494,53,"Livorno, Italy",43.55,10.316667,4,mid17th,
50,Spain,"Western Europe",40.433333,-3.7,1,"Amsterdam, Netherlands",52.3702157,4.895167899999933,4,mid17th,
50,Spain,"Western Europe",40.433333,-3.7,8,"London, England",51.5073509,-0.12775829999998223,4,mid17th,NULL
50,Spain,"Western Europe",40.433333,-3.7,40,"Hamburg, Germany",53.551085,9.993682,4,mid17th,
1,"Amsterdam, Netherlands","Western Europe",52.3702157,4.895167899999933,7,"Port Royal, Jamaica",17.93676689999999,-76.84110379999998,5,mid17th-late17th,NULL
1,"Amsterdam, Netherlands","Western Europe",52.3702157,4.895167899999933,24,"New York, United States",40.7127753,-74.0059728,5,mid17th-late17th,
1,"Amsterdam, Netherlands","Western Europe",52.3702157,4.895167899999933,8,"London, England",51.5073509,-0.12775829999998223,5,mid17th-late17th,
52,"Bordeaux, France","Western Europe",44.84," -0.58",8,"London, England",51.5073509,-0.12775829999998223,5,mid17th-late17th,
19,"Cayenne, French Guyana","South America",4.922420000000001,-52.313453100000004,59,"Essequibo, Dutch Guiana",7.03333,-58.45,5,mid17th-late17th,
19,"Cayenne, French Guyana","South America",4.922420000000001,-52.313453100000004,7,"Port Royal, Jamaica",17.93676689999999,-76.84110379999998,5,mid17th-late17th,NULL
59,"Essequibo, Dutch Guiana","South America",7.03333,-58.45,9,"Cassipora, Suriname",5.3972081,-54.944664999999986,5,mid17th-late17th,
40,"Hamburg, Germany","Western Europe",53.551085,9.993682,8,"London, England",51.5073509,-0.12775829999998223,5,mid17th-late17th,
8,"London, England","Western Europe",51.5073509,-0.12775829999998223,7,"Port Royal, Jamaica",17.93676689999999,-76.84110379999998,5,mid17th-late17th,NULL
37,Poland,"Western Europe",52.2296756,21.012228700000037,8,"London, England",51.5073509,-0.12775829999998223,5,mid17th-late17th,
7,"Port Royal, Jamaica",Caribbean,17.93676689999999,-76.84110379999998,14,"Kingston, Jamaica",18.0178743,-76.80990409999998,5,mid17th-late17th,NULL
7,"Port Royal, Jamaica",Caribbean,17.93676689999999,-76.84110379999998,15,"Spanish Town, Jamaica",18.0193171,-76.97582740000001,5,mid17th-late17th,NULL
